"TIME","NA_ITEM","GEO","UNIT","Value"
"1991","Gross domestic product at market prices","Albania","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Austria","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Bosnia and Herzegovina","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Belgium","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Bulgaria","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Switzerland","Chain linked volumes (2010), million euro","323 489.5"
"1991","Gross domestic product at market prices","Cyprus","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Czech Republic","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","2 038 505.4"
"1991","Gross domestic product at market prices","Denmark","Chain linked volumes (2010), million euro","175 444.0"
"1991","Gross domestic product at market prices","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Euro area (12 countries)","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Euro area (18 countries)","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Euro area (19 countries)","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Estonia","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Greece","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Spain","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","European Union (15 countries)","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","European Union (28 countries)","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Finland","Chain linked volumes (2010), million euro","118 720.0"
"1991","Gross domestic product at market prices","France","Chain linked volumes (2010), million euro","1 455 049.0"
"1991","Gross domestic product at market prices","Croatia","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Hungary","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Ireland","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Iceland","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Italy","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Liechtenstein","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Lithuania","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Luxembourg","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Latvia","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Montenegro","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Former Yugoslav Republic of Macedonia, the","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Malta","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Netherlands","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Norway","Chain linked volumes (2010), million euro","198 982.7"
"1991","Gross domestic product at market prices","Poland","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Portugal","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Romania","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Serbia","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Sweden","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Slovenia","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Slovakia","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","Turkey","Chain linked volumes (2010), million euro",":"
"1991","Gross domestic product at market prices","United Kingdom","Chain linked volumes (2010), million euro","1 225 691.1"
"1991","Gross domestic product at market prices","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Albania","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Austria","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Bosnia and Herzegovina","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Belgium","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Bulgaria","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Switzerland","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Cyprus","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Czech Republic","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","1 155 560.1"
"1991","Final consumption expenditure of households","Denmark","Chain linked volumes (2010), million euro","81 856.9"
"1991","Final consumption expenditure of households","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Euro area (12 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Euro area (18 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Euro area (19 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Estonia","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Greece","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Spain","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","European Union (15 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","European Union (28 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Finland","Chain linked volumes (2010), million euro","62 117.0"
"1991","Final consumption expenditure of households","France","Chain linked volumes (2010), million euro","762 329.0"
"1991","Final consumption expenditure of households","Croatia","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Hungary","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Ireland","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Iceland","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Italy","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Liechtenstein","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Lithuania","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Luxembourg","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Latvia","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Montenegro","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Former Yugoslav Republic of Macedonia, the","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Malta","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Netherlands","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Norway","Chain linked volumes (2010), million euro","66 835.8"
"1991","Final consumption expenditure of households","Poland","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Portugal","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Romania","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Serbia","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Sweden","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Slovenia","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Slovakia","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Turkey","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","United Kingdom","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of households","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Albania","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Austria","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Bosnia and Herzegovina","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Belgium","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Bulgaria","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Switzerland","Chain linked volumes (2010), million euro","41 422.2"
"1991","Final consumption expenditure of general government","Cyprus","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Czech Republic","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","362 898.0"
"1991","Final consumption expenditure of general government","Denmark","Chain linked volumes (2010), million euro","44 574.7"
"1991","Final consumption expenditure of general government","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Euro area (12 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Euro area (18 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Euro area (19 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Estonia","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Greece","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Spain","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","European Union (15 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","European Union (28 countries)","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Finland","Chain linked volumes (2010), million euro","36 246.0"
"1991","Final consumption expenditure of general government","France","Chain linked volumes (2010), million euro","355 971.0"
"1991","Final consumption expenditure of general government","Croatia","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Hungary","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Ireland","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Iceland","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Italy","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Liechtenstein","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Lithuania","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Luxembourg","Chain linked volumes (2010), million euro",":"
"1991","Final consumption expenditure of general government","Latvia","Chain linked volumes (2010), million euro",":"
